"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-31"
"Start Time","08:10:01"
"Last Modified Date","2026-05-31"
"Last Modified Time","08:14:08"
"Elapsed","00:04:06"
"Report Date","2026-05-31"
"Report Time","08:14:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Request Errors","0","0.00%","1825","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","1825","100.00%","1825",""
"Viewport Not Set","0","0.00%","1825",""
"Target Size","0","0.00%","1825",""
"Content Not Sized Correctly","0","0.00%","1825",""
"Illegible Font Size","0","0.00%","1825",""
"Contains Unsupported Plugins","0","0.00%","1825",""
"Mobile Alternate Link","0","0.00%","1825",""
""
"Accessibility"
"All","1825","100.00%","1825",""
"Accessibility Score Poor","0","0.00%","1825",""
"Accessibility Score Needs Improvement","0","0.00%","1825",""
"Accessibility Score Good","0","0.00%","1825",""
"WCAG 2.0 A Violation","0","0.00%","1825",""
"WCAG 2.0 AA Violation","0","0.00%","1825",""
"WCAG 2.0 AAA Violation","0","0.00%","1825",""
"WCAG 2.1 AA Violation","0","0.00%","1825",""
"WCAG 2.2 AA Violation","0","0.00%","1825",""
"Best Practice Violation","0","0.00%","1825",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","1825",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","1825",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","1825",""
"Scrollable Region Requires Keyboard Access","0","0.00%","1825",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","1825",""
"Required ARIA Attributes Must Be Provided","0","0.00%","1825",""
"Role=text Should Have No Focusable Descendants","0","0.00%","1825",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","1825",""
"ARIA Attributes Require Valid Values","0","0.00%","1825",""
"ARIA Attributes Require Valid Names","0","0.00%","1825",""
"ARIA Commands Require Accessible Name","0","0.00%","1825",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","1825",""
"ARIA Input Fields Require Accessible Name","0","0.00%","1825",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","1825",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","1825",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","1825",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","1825",""
"ARIA Roles Require Valid Values","0","0.00%","1825",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","1825",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","1825",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","1825",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","1825",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","1825",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","1825",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","1825",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","1825",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","1825",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","1825",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","1825",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","1825",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","1825",""
"Page Requires One Main Landmark","0","0.00%","1825",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","1825",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","1825",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","1825",""
"Page Requires At Most One Main Landmark","0","0.00%","1825",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","1825",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","1825",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","1825",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","1825",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","1825",""
"Form <input> Elements Require Labels","0","0.00%","1825",""
"Form Elements Should Have Visible Label","0","0.00%","1825",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","1825",""
"Frames Require Title Attribute","0","0.00%","1825",""
"Frames Require Unique Title Attribute","0","0.00%","1825",""
"Frames Should Be Tested With axe-core","0","0.00%","1825",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","1825",""
"Page Must Contain <title>","0","0.00%","1825",""
"Page Must Contain <h1>","0","0.00%","1825",""
"Heading Levels Should Only Increase By One","0","0.00%","1825",""
"Headings Should Not Be Empty","0","0.00%","1825",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","1825",""
