"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-24"
"Start Time","07:46:19"
"Last Modified Date","2026-05-24"
"Last Modified Time","07:50:07"
"Elapsed","00:03:48"
"Report Date","2026-05-24"
"Report Time","07:50:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1916","100.00%","1916","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1927","100.00%","1927","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1927","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1927","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1927","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1927","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1927","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1927","100.00%","1927","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","1927","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","1927","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2050","100.00%","2050","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2050","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2050","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2050","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2050","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2050","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2050","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2050","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","2050","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","2050","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","2050","Internal URLs with 2xx response"
""
"Link Metrics"
"All","1927","100.00%","1927","Internal HTML/PDF pages"
""
"AI"
"All","1916","100.00%","1916","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","1793","Internal HTML pages with 2xx response"
"1","0","0.00%","1793","Internal HTML pages with 2xx response"
"2","1","0.06%","1793","Internal HTML pages with 2xx response"
"3","48","2.68%","1793","Internal HTML pages with 2xx response"
"4","811","45.23%","1793","Internal HTML pages with 2xx response"
"5","205","11.43%","1793","Internal HTML pages with 2xx response"
"6","30","1.67%","1793","Internal HTML pages with 2xx response"
"7","228","12.72%","1793","Internal HTML pages with 2xx response"
"8","69","3.85%","1793","Internal HTML pages with 2xx response"
"9","61","3.40%","1793","Internal HTML pages with 2xx response"
"10+","340","18.96%","1793","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.nordhealth.fi/fi","1793","100.00%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/yritykselle","1514","84.44%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/terapeuteille","1514","84.44%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/yhteistyokumppani/kuntoutusyrittajat","1210","67.48%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/tampere","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/fysioterapia/tampere","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/fysioterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/seksuaaliterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/ravitsemusterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/helsinki","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/psykologia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/psykoterapia/helsinki","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/lyhytterapia/helsinki","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/ohjeet","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/uudet-ominaisuudet","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/toimintaterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/lyhytterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/osteopatia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/puheterapia/suomi","1191","66.42%","1793","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2026","98.83%"
"2","14","0.68%"
"3","6","0.29%"
"4","4","0.20%"
